,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Kmeans_7,Cat
769,461530,Male,Yes,38,Yes,Engineer,0.0,Low,2.0,Cat_6,4,Cat_4
770,461534,Male,Yes,36,Yes,Artist,0.0,Low,1.0,Cat_6,4,Cat_4
772,461546,Female,Yes,69,No,Lawyer,0.0,Low,3.0,Cat_6,5,Cat_5
773,461548,Female,No,33,Yes,Engineer,0.0,Low,3.0,Cat_6,3,Cat_3
774,461553,Male,No,38,Yes,Artist,1.0,Low,3.0,Cat_7,0,Cat_0
775,461556,Female,Yes,48,Yes,Engineer,1.0,Average,2.0,Cat_6,5,Cat_5
776,461558,Male,Yes,51,Yes,Engineer,2.0,Average,2.0,Cat_6,6,Cat_6
777,461564,Male,Yes,56,Yes,Executive,1.0,High,2.0,Cat_6,1,Cat_1
778,461570,Male,Yes,57,Yes,Artist,0.0,Average,3.0,Cat_6,6,Cat_6
779,461574,Female,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,5,Cat_5
780,461587,Male,No,30,Yes,Healthcare,0.0,Low,3.0,Cat_6,0,Cat_0
781,461593,Female,Yes,40,Yes,Doctor,8.0,Average,2.0,Cat_6,5,Cat_5
783,461604,Male,Yes,38,No,Entertainment,0.0,Average,2.0,Cat_6,6,Cat_6
784,461612,Female,No,31,Yes,Healthcare,8.0,Low,5.0,Cat_6,3,Cat_3
785,461615,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,0,Cat_0
786,461617,Male,No,50,Yes,Artist,0.0,Low,2.0,Cat_6,0,Cat_0
789,461626,Male,Yes,73,Yes,Executive,0.0,High,2.0,Cat_6,1,Cat_1
790,461630,Male,Yes,46,Yes,Artist,0.0,Average,3.0,Cat_6,6,Cat_6
791,461637,Male,Yes,50,Yes,Artist,0.0,Low,2.0,Cat_7,4,Cat_4
792,461644,Male,No,30,No,Healthcare,0.0,Low,6.0,Cat_6,2,Cat_2
793,461653,Female,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,5,Cat_5
794,461655,Female,Yes,39,Yes,Homemaker,9.0,Average,2.0,Cat_6,5,Cat_5
795,461658,Female,Yes,59,Yes,Artist,1.0,Average,2.0,Cat_5,5,Cat_5
796,461659,Female,Yes,51,Yes,Artist,0.0,Average,2.0,Cat_6,5,Cat_5
797,461661,Female,Yes,40,Yes,Artist,5.0,Average,2.0,Cat_2,5,Cat_5
798,461663,Male,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,2,Cat_2
799,461668,Male,Yes,53,Yes,Artist,4.0,Average,4.0,Cat_2,6,Cat_6
800,461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,2,Cat_2
801,461674,Male,Yes,52,Yes,Executive,0.0,High,4.0,Cat_6,1,Cat_1
802,461676,Female,No,31,Yes,Engineer,0.0,Low,1.0,Cat_6,3,Cat_3
803,461679,Male,No,30,Yes,Healthcare,3.0,Low,4.0,Cat_6,0,Cat_0
804,461681,Male,No,25,Yes,Healthcare,8.0,Low,3.0,Cat_7,0,Cat_0
805,461683,Male,Yes,40,Yes,Executive,1.0,High,4.0,Cat_6,1,Cat_1
806,461685,Female,No,27,Yes,Healthcare,4.0,Low,4.0,Cat_6,3,Cat_3
807,461686,Male,Yes,61,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
808,461690,Female,No,33,Yes,Engineer,1.0,Low,1.0,Cat_4,3,Cat_3
809,461694,Male,No,28,Yes,Doctor,1.0,Low,4.0,Cat_4,0,Cat_0
810,461695,Female,Yes,48,Yes,Artist,2.0,Average,2.0,Cat_6,5,Cat_5
811,461698,Female,Yes,73,Yes,Artist,0.0,High,2.0,Cat_6,1,Cat_1
812,461701,Male,Yes,36,No,Artist,0.0,Average,2.0,Cat_5,6,Cat_6
813,461705,Female,No,32,No,Healthcare,0.0,Low,4.0,Cat_6,2,Cat_2
814,461708,Male,Yes,82,No,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
815,461709,Male,No,28,Yes,Artist,1.0,Low,3.0,Cat_4,0,Cat_0
816,461711,Female,No,42,Yes,Artist,8.0,Low,3.0,Cat_2,3,Cat_3
817,461716,Female,Yes,60,Yes,Lawyer,6.0,High,9.0,Cat_6,1,Cat_1
818,461720,Female,No,46,Yes,Artist,1.0,Low,1.0,Cat_4,3,Cat_3
819,461722,Male,No,31,No,Doctor,0.0,Low,3.0,Cat_6,2,Cat_2
820,461724,Female,Yes,50,Yes,Artist,1.0,Low,1.0,Cat_7,3,Cat_3
821,461725,Female,No,30,Yes,Engineer,3.0,Low,1.0,Cat_4,3,Cat_3
822,461727,Female,No,49,Yes,Artist,1.0,Low,3.0,Cat_6,3,Cat_3
823,461737,Female,Yes,51,Yes,Doctor,0.0,Average,6.0,Cat_4,5,Cat_5
825,461744,Male,Yes,53,Yes,Artist,0.0,Average,4.0,Cat_6,6,Cat_6
826,461747,Male,Yes,65,Yes,Artist,0.0,High,2.0,Cat_6,1,Cat_1
827,461749,Female,No,22,No,Healthcare,0.0,Low,5.0,Cat_6,2,Cat_2
828,461752,Male,Yes,65,Yes,Doctor,1.0,Average,3.0,Cat_6,6,Cat_6
829,461756,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_4,5,Cat_5
830,461760,Male,Yes,84,Yes,Artist,0.0,High,2.0,Cat_6,1,Cat_1
831,461769,Male,No,37,Yes,Artist,0.0,Low,1.0,Cat_6,0,Cat_0
832,461771,Male,Yes,28,Yes,Doctor,8.0,Average,2.0,Cat_6,6,Cat_6
833,461775,Female,Yes,82,No,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
834,461778,Female,Yes,87,Yes,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
835,461780,Female,No,69,Yes,Lawyer,1.0,Low,5.0,Cat_6,3,Cat_3
837,461784,Female,Yes,74,Yes,Lawyer,1.0,Low,1.0,Cat_6,3,Cat_3
838,461788,Female,Yes,79,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
839,461791,Female,No,21,No,Lawyer,9.0,Low,1.0,Cat_6,2,Cat_2
840,461792,Female,No,20,No,Healthcare,5.0,Low,5.0,Cat_2,2,Cat_2
841,461800,Female,No,43,Yes,Doctor,3.0,Low,1.0,Cat_2,3,Cat_3
842,461801,Female,No,25,No,Healthcare,1.0,Low,3.0,Cat_6,2,Cat_2
843,461802,Male,No,43,Yes,Artist,0.0,Low,4.0,Cat_6,0,Cat_0
844,461804,Female,No,42,Yes,Artist,1.0,Low,1.0,Cat_6,3,Cat_3
845,461807,Male,No,25,Yes,Doctor,10.0,Low,4.0,Cat_6,0,Cat_0
846,461815,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_3,4,Cat_4
847,461816,Female,No,49,Yes,Marketing,0.0,Low,5.0,Cat_6,3,Cat_3
848,461821,Female,No,32,No,Doctor,1.0,Low,4.0,Cat_6,2,Cat_2
849,461822,Male,Yes,36,Yes,Artist,8.0,High,2.0,Cat_6,1,Cat_1
850,461824,Male,Yes,45,Yes,Marketing,9.0,Low,3.0,Cat_6,4,Cat_4
852,461837,Male,Yes,37,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
853,461845,Female,Yes,48,Yes,Doctor,1.0,Average,4.0,Cat_6,5,Cat_5
854,461846,Female,No,65,Yes,Artist,0.0,Low,2.0,Cat_2,3,Cat_3
855,461848,Male,No,39,No,Marketing,1.0,Low,2.0,Cat_6,2,Cat_2
856,461858,Male,No,25,No,Entertainment,1.0,Low,7.0,Cat_4,2,Cat_2
857,461859,Female,Yes,49,No,Artist,5.0,Low,5.0,Cat_6,5,Cat_5
858,461860,Female,Yes,77,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
859,461862,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_6,3,Cat_3
860,461864,Male,No,19,Yes,Marketing,0.0,Low,6.0,Cat_4,0,Cat_0
861,461872,Female,Yes,76,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
862,461873,Male,No,28,Yes,Doctor,0.0,Low,4.0,Cat_6,0,Cat_0
863,461874,Male,Yes,51,Yes,Doctor,1.0,Average,3.0,Cat_3,6,Cat_6
864,461882,Female,No,28,Yes,Doctor,0.0,Low,5.0,Cat_7,3,Cat_3
865,461892,Female,No,42,Yes,Healthcare,0.0,Low,1.0,Cat_2,3,Cat_3
866,461896,Male,Yes,45,Yes,Artist,1.0,Low,1.0,Cat_6,4,Cat_4
867,461898,Male,Yes,63,Yes,Executive,6.0,High,3.0,Cat_6,1,Cat_1
868,461899,Female,No,18,No,Doctor,0.0,Low,6.0,Cat_6,2,Cat_2
869,461901,Male,No,26,Yes,Artist,7.0,Low,4.0,Cat_6,0,Cat_0
871,461913,Male,No,43,Yes,Entertainment,5.0,Low,4.0,Cat_2,0,Cat_0
873,461921,Female,No,36,Yes,Artist,0.0,Low,1.0,Cat_6,3,Cat_3
874,461927,Male,No,32,No,Healthcare,1.0,Low,4.0,Cat_2,2,Cat_2
876,461929,Male,Yes,60,Yes,Entertainment,1.0,Low,1.0,Cat_6,4,Cat_4
877,461930,Female,No,42,Yes,Artist,0.0,Low,1.0,Cat_4,3,Cat_3
879,461936,Male,Yes,69,No,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
881,461941,Female,Yes,70,Yes,Artist,1.0,Low,1.0,Cat_6,3,Cat_3
882,461943,Male,No,25,Yes,Healthcare,1.0,Low,3.0,Cat_6,0,Cat_0
883,461962,Male,Yes,56,Yes,Entertainment,1.0,Average,3.0,Cat_6,6,Cat_6
884,461963,Female,No,40,Yes,Artist,9.0,Low,1.0,Cat_6,3,Cat_3
885,461965,Male,No,23,No,Healthcare,1.0,Low,6.0,Cat_6,2,Cat_2
886,461967,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,2,Cat_2
887,461968,Female,No,39,Yes,Entertainment,2.0,Low,1.0,Cat_6,3,Cat_3
888,461978,Female,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,2,Cat_2
890,461988,Male,Yes,40,No,Engineer,1.0,Average,2.0,Cat_6,6,Cat_6
892,461993,Male,No,33,No,Healthcare,3.0,Low,4.0,Cat_6,2,Cat_2
893,461994,Male,Yes,20,No,Doctor,14.0,Low,2.0,Cat_6,4,Cat_4
894,461996,Female,No,35,No,Artist,7.0,Low,4.0,Cat_6,2,Cat_2
895,461999,Male,No,27,Yes,Doctor,0.0,Low,5.0,Cat_6,0,Cat_0
896,462007,Female,Yes,42,Yes,Artist,1.0,Average,2.0,Cat_6,5,Cat_5
897,462011,Male,Yes,30,No,Marketing,0.0,Low,4.0,Cat_4,4,Cat_4
898,462013,Female,Yes,56,Yes,Executive,0.0,Average,2.0,Cat_6,5,Cat_5
899,462015,Male,Yes,28,Yes,Entertainment,0.0,Average,2.0,Cat_6,6,Cat_6
900,462016,Female,Yes,38,Yes,Artist,6.0,Average,2.0,Cat_6,5,Cat_5
901,462017,Male,No,26,Yes,Entertainment,9.0,Low,1.0,Cat_2,0,Cat_0
902,462027,Male,No,36,No,Engineer,0.0,Low,1.0,Cat_6,2,Cat_2
903,462029,Male,No,56,No,Entertainment,0.0,Low,1.0,Cat_6,2,Cat_2
904,462033,Male,No,26,Yes,Entertainment,0.0,Low,1.0,Cat_6,0,Cat_0
905,462038,Male,No,28,Yes,Artist,4.0,Low,4.0,Cat_6,0,Cat_0
906,462043,Male,No,32,No,Healthcare,0.0,Low,5.0,Cat_6,2,Cat_2
907,462044,Female,No,52,Yes,Artist,4.0,Low,1.0,Cat_6,3,Cat_3
908,462048,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_6,2,Cat_2
910,462052,Male,Yes,50,Yes,Artist,0.0,Low,2.0,Cat_6,4,Cat_4
912,462058,Male,Yes,40,Yes,Entertainment,8.0,Low,2.0,Cat_6,4,Cat_4
913,462060,Female,Yes,53,Yes,Artist,1.0,Average,2.0,Cat_6,5,Cat_5
914,462064,Male,Yes,63,Yes,Artist,0.0,Average,3.0,Cat_7,6,Cat_6
915,462068,Male,Yes,62,Yes,Executive,0.0,High,3.0,Cat_6,1,Cat_1
916,462075,Female,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,3,Cat_3
917,462078,Female,Yes,57,No,Artist,1.0,Average,2.0,Cat_2,5,Cat_5
918,462080,Female,No,43,Yes,Artist,9.0,Low,1.0,Cat_6,3,Cat_3
919,462081,Male,No,21,No,Marketing,1.0,Low,3.0,Cat_4,2,Cat_2
920,462083,Male,No,22,No,Healthcare,0.0,Low,5.0,Cat_6,2,Cat_2
921,462084,Male,Yes,68,Yes,Artist,1.0,Low,1.0,Cat_6,4,Cat_4
922,462085,Female,No,28,Yes,Healthcare,0.0,Low,1.0,Cat_6,3,Cat_3
923,462088,Male,Yes,33,Yes,Artist,0.0,Average,2.0,Cat_6,6,Cat_6
924,462090,Female,No,38,Yes,Artist,8.0,Low,1.0,Cat_6,3,Cat_3
925,462091,Male,No,23,No,Healthcare,0.0,Low,5.0,Cat_4,2,Cat_2
928,462102,Female,No,39,Yes,Doctor,4.0,Low,1.0,Cat_6,3,Cat_3
929,462103,Female,Yes,49,No,Entertainment,9.0,High,2.0,Cat_6,1,Cat_1
931,462109,Male,Yes,79,No,Lawyer,0.0,Low,1.0,Cat_6,4,Cat_4
932,462111,Male,Yes,38,Yes,Artist,6.0,Average,4.0,Cat_6,6,Cat_6
933,462114,Male,No,21,No,Healthcare,1.0,Low,4.0,Cat_6,2,Cat_2
934,462116,Female,Yes,68,Yes,Doctor,0.0,Average,2.0,Cat_6,5,Cat_5
935,462118,Male,No,31,Yes,Artist,0.0,Low,3.0,Cat_6,0,Cat_0
936,462120,Male,Yes,46,No,Artist,1.0,Low,3.0,Cat_3,4,Cat_4
937,462128,Male,Yes,35,Yes,Artist,9.0,Average,2.0,Cat_6,6,Cat_6
938,462131,Female,No,42,Yes,Artist,8.0,Low,3.0,Cat_2,3,Cat_3
940,462141,Female,No,38,Yes,Artist,8.0,Low,1.0,Cat_6,3,Cat_3
941,462149,Female,Yes,88,No,Lawyer,2.0,High,1.0,Cat_6,1,Cat_1
942,462151,Female,No,42,Yes,Artist,9.0,Low,1.0,Cat_6,3,Cat_3
943,462163,Female,Yes,26,Yes,Artist,4.0,Average,2.0,Cat_3,5,Cat_5
944,462168,Male,Yes,35,Yes,Executive,0.0,High,3.0,Cat_6,1,Cat_1
945,462171,Female,Yes,41,No,Engineer,3.0,High,2.0,Cat_6,1,Cat_1
946,462172,Male,Yes,37,Yes,Doctor,1.0,Average,2.0,Cat_1,6,Cat_6
947,462174,Female,Yes,41,Yes,Engineer,8.0,Average,4.0,Cat_4,5,Cat_5
949,462179,Female,No,33,Yes,Marketing,0.0,Low,9.0,Cat_7,3,Cat_3
950,462180,Female,Yes,61,Yes,Engineer,2.0,Average,4.0,Cat_2,5,Cat_5
951,462186,Female,No,19,No,Doctor,1.0,Low,3.0,Cat_1,2,Cat_2
952,462187,Female,No,50,Yes,Artist,4.0,Low,1.0,Cat_6,3,Cat_3
953,462188,Female,Yes,48,No,Engineer,0.0,Average,4.0,Cat_4,5,Cat_5
954,462196,Male,Yes,57,No,Marketing,1.0,Average,3.0,Cat_4,6,Cat_6
955,462197,Female,Yes,72,No,Engineer,1.0,Average,3.0,Cat_4,5,Cat_5
957,462200,Female,Yes,49,Yes,Doctor,0.0,Low,3.0,Cat_4,5,Cat_5
958,462202,Female,No,41,Yes,Entertainment,0.0,Low,4.0,Cat_4,3,Cat_3
959,462203,Male,Yes,65,No,Executive,2.0,High,7.0,Cat_4,1,Cat_1
960,462204,Female,No,22,No,Marketing,0.0,Low,3.0,Cat_4,2,Cat_2
961,462205,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_4,2,Cat_2
962,462209,Female,Yes,41,No,Artist,0.0,Low,1.0,Cat_4,3,Cat_3
963,462210,Female,Yes,42,Yes,Engineer,0.0,Low,3.0,Cat_4,5,Cat_5
964,462211,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_4,2,Cat_2
965,462214,Male,Yes,49,No,Doctor,1.0,Low,2.0,Cat_4,4,Cat_4
966,462216,Female,Yes,40,No,Doctor,0.0,Low,2.0,Cat_4,5,Cat_5
967,462218,Male,Yes,50,No,Executive,1.0,Average,5.0,Cat_4,6,Cat_6
968,462220,Female,No,19,No,Healthcare,6.0,Low,3.0,Cat_4,2,Cat_2
969,462222,Male,No,22,No,Healthcare,0.0,Low,6.0,Cat_4,2,Cat_2
971,462231,Male,No,27,Yes,Artist,4.0,Low,6.0,Cat_4,0,Cat_0
972,462232,Male,Yes,55,No,Executive,0.0,High,8.0,Cat_4,1,Cat_1
975,462240,Male,Yes,80,No,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
976,462243,Male,Yes,43,No,Executive,0.0,Low,4.0,Cat_6,4,Cat_4
977,462246,Female,Yes,79,No,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
978,462249,Male,No,25,No,Entertainment,1.0,Low,3.0,Cat_6,2,Cat_2
979,462256,Female,Yes,58,Yes,Homemaker,0.0,Average,4.0,Cat_6,5,Cat_5
981,462260,Male,Yes,76,Yes,Lawyer,1.0,Low,2.0,Cat_6,4,Cat_4
983,462274,Male,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6,6,Cat_6
984,462275,Male,Yes,43,Yes,Artist,1.0,Average,2.0,Cat_6,6,Cat_6
985,462278,Male,No,31,Yes,Healthcare,1.0,Low,4.0,Cat_6,0,Cat_0
986,462279,Male,No,27,No,Healthcare,0.0,Low,7.0,Cat_6,2,Cat_2
987,462280,Male,No,31,Yes,Healthcare,0.0,Low,4.0,Cat_6,0,Cat_0
988,462281,Male,Yes,46,Yes,Artist,1.0,Low,2.0,Cat_6,4,Cat_4
989,462284,Male,Yes,48,Yes,Executive,1.0,Average,4.0,Cat_6,6,Cat_6
991,462286,Male,Yes,57,No,Doctor,0.0,Average,2.0,Cat_6,6,Cat_6
992,462290,Female,No,30,Yes,Doctor,0.0,Low,1.0,Cat_6,3,Cat_3
994,462297,Female,No,31,Yes,Artist,14.0,Low,2.0,Cat_6,3,Cat_3
995,462300,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,6,Cat_6
996,462304,Male,Yes,56,Yes,Artist,1.0,Low,4.0,Cat_4,4,Cat_4
997,462306,Male,Yes,83,No,Lawyer,8.0,High,2.0,Cat_6,1,Cat_1
999,462310,Male,Yes,63,Yes,Artist,5.0,Average,4.0,Cat_6,6,Cat_6
1000,462323,Female,Yes,71,Yes,Doctor,1.0,Average,2.0,Cat_6,5,Cat_5
1001,462336,Male,Yes,50,No,Artist,0.0,Low,4.0,Cat_6,4,Cat_4
1002,462339,Male,No,31,Yes,Artist,4.0,Low,5.0,Cat_6,0,Cat_0
1003,462340,Male,Yes,60,No,Entertainment,0.0,Average,6.0,Cat_6,6,Cat_6
1004,462342,Female,Yes,71,Yes,Lawyer,8.0,High,2.0,Cat_6,1,Cat_1
1005,462345,Male,Yes,49,Yes,Doctor,0.0,Average,6.0,Cat_4,6,Cat_6
1006,462346,Male,Yes,74,Yes,Lawyer,9.0,Low,1.0,Cat_6,4,Cat_4
1007,462349,Male,Yes,51,Yes,Artist,1.0,Average,6.0,Cat_6,6,Cat_6
1009,462356,Male,No,46,Yes,Engineer,0.0,Low,3.0,Cat_6,0,Cat_0
1010,462358,Male,Yes,39,No,Doctor,2.0,Average,2.0,Cat_6,6,Cat_6
1011,462365,Male,Yes,85,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
1012,462368,Female,Yes,31,Yes,Artist,1.0,Average,2.0,Cat_6,5,Cat_5
1013,462370,Male,Yes,39,Yes,Executive,4.0,High,3.0,Cat_6,1,Cat_1
1014,462381,Female,Yes,48,No,Doctor,1.0,High,2.0,Cat_6,1,Cat_1
1015,462382,Male,Yes,71,Yes,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
1017,462386,Female,No,32,Yes,Healthcare,0.0,Low,5.0,Cat_6,3,Cat_3
1018,462389,Female,Yes,55,No,Engineer,0.0,Low,1.0,Cat_6,4,Cat_4
1019,462395,Male,Yes,46,Yes,Artist,0.0,High,2.0,Cat_6,1,Cat_1
1021,462397,Male,Yes,50,Yes,Artist,0.0,Average,4.0,Cat_6,6,Cat_6
1022,462400,Male,No,45,Yes,Artist,1.0,Low,1.0,Cat_6,0,Cat_0
1023,462401,Male,Yes,33,No,Executive,1.0,Average,2.0,Cat_4,6,Cat_6
1024,462409,Female,Yes,29,No,Engineer,5.0,Low,2.0,Cat_6,5,Cat_5
1025,462411,Male,No,35,Yes,Artist,8.0,Low,1.0,Cat_6,0,Cat_0
1026,462415,Male,No,25,No,Doctor,1.0,Low,1.0,Cat_6,2,Cat_2
1027,462420,Male,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,0,Cat_0
1028,462421,Male,No,48,Yes,Artist,1.0,Low,2.0,Cat_6,0,Cat_0
1029,462423,Male,Yes,66,No,Lawyer,0.0,High,3.0,Cat_6,1,Cat_1
1030,462424,Female,Yes,38,No,Artist,0.0,Low,3.0,Cat_6,5,Cat_5
1031,462428,Male,Yes,65,Yes,Entertainment,2.0,Average,3.0,Cat_6,6,Cat_6
1032,462429,Male,Yes,87,No,Lawyer,1.0,Low,1.0,Cat_6,4,Cat_4
1033,462445,Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_6,2,Cat_2
1034,462446,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,2,Cat_2
1035,462447,Male,No,22,No,Healthcare,9.0,Low,4.0,Cat_6,2,Cat_2
1037,462451,Male,No,18,No,Marketing,1.0,Low,9.0,Cat_6,2,Cat_2
1039,462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,2,Cat_2
1040,462456,Male,No,22,No,Healthcare,0.0,Low,8.0,Cat_6,2,Cat_2
1041,462457,Male,No,31,No,Healthcare,4.0,Low,4.0,Cat_6,2,Cat_2
1042,462463,Male,Yes,63,No,Artist,0.0,Average,2.0,Cat_6,6,Cat_6
1043,462472,Male,No,43,Yes,Artist,1.0,Low,1.0,Cat_6,0,Cat_0
1045,462485,Female,Yes,39,No,Engineer,0.0,Low,2.0,Cat_6,5,Cat_5
1046,462488,Male,No,31,Yes,Healthcare,1.0,Low,5.0,Cat_6,0,Cat_0
1047,462491,Male,No,31,Yes,Artist,0.0,Low,5.0,Cat_6,0,Cat_0
1048,462492,Male,Yes,43,No,Artist,0.0,Average,4.0,Cat_2,6,Cat_6
1049,462496,Male,Yes,52,No,Artist,0.0,Average,3.0,Cat_6,6,Cat_6
1050,462498,Female,Yes,63,Yes,Doctor,0.0,Average,3.0,Cat_6,5,Cat_5
1051,462503,Male,Yes,51,Yes,Executive,1.0,High,4.0,Cat_6,1,Cat_1
1052,462508,Male,Yes,35,Yes,Healthcare,1.0,Low,7.0,Cat_4,4,Cat_4
1054,462517,Female,Yes,39,Yes,Homemaker,9.0,High,4.0,Cat_6,5,Cat_5
1055,462518,Female,No,25,No,Healthcare,1.0,Low,6.0,Cat_5,2,Cat_2
1056,462519,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_4,2,Cat_2
1057,462521,Female,No,33,No,Homemaker,9.0,Low,1.0,Cat_6,3,Cat_3
1058,462522,Male,Yes,36,No,Executive,0.0,Average,5.0,Cat_4,6,Cat_6
1060,462525,Female,Yes,42,Yes,Artist,1.0,Average,2.0,Cat_6,5,Cat_5
1061,462526,Female,Yes,52,Yes,Artist,2.0,Average,5.0,Cat_6,5,Cat_5
1062,462529,Female,Yes,42,Yes,Engineer,1.0,Low,2.0,Cat_6,5,Cat_5
1064,462533,Female,No,30,Yes,Entertainment,1.0,Low,3.0,Cat_6,3,Cat_3
1065,462538,Female,Yes,73,Yes,Lawyer,1.0,High,2.0,Cat_6,1,Cat_1
1066,462541,Male,Yes,66,Yes,Engineer,3.0,High,2.0,Cat_6,1,Cat_1
1067,462542,Female,Yes,62,Yes,Artist,9.0,Average,5.0,Cat_2,5,Cat_5
1068,462543,Female,Yes,36,Yes,Artist,4.0,Low,1.0,Cat_3,3,Cat_3
1069,462545,Male,No,33,No,Engineer,0.0,Low,3.0,Cat_4,2,Cat_2
1070,462554,Male,No,28,No,Healthcare,0.0,Low,8.0,Cat_4,2,Cat_2
1071,462561,Female,Yes,48,Yes,Artist,3.0,Average,2.0,Cat_6,5,Cat_5
1072,462563,Female,Yes,53,Yes,Artist,1.0,Average,2.0,Cat_6,5,Cat_5
1074,462577,Female,Yes,71,No,Marketing,0.0,High,2.0,Cat_4,1,Cat_1
1075,462578,Male,Yes,35,Yes,Artist,9.0,Average,2.0,Cat_4,6,Cat_6
1076,462580,Female,No,41,Yes,Artist,0.0,Low,1.0,Cat_4,3,Cat_3
1077,462584,Female,Yes,39,No,Entertainment,0.0,Low,4.0,Cat_4,5,Cat_5
1078,462587,Female,Yes,79,No,Lawyer,1.0,High,2.0,Cat_4,1,Cat_1
1079,462589,Female,No,29,No,Engineer,9.0,Low,8.0,Cat_4,2,Cat_2
1080,462595,Female,No,33,Yes,Artist,7.0,Low,7.0,Cat_4,3,Cat_3
1082,462600,Male,Yes,25,No,Engineer,4.0,Average,3.0,Cat_4,6,Cat_6
1084,462609,Female,Yes,52,No,Doctor,4.0,Low,1.0,Cat_4,3,Cat_3
1085,462611,Male,Yes,41,No,Executive,0.0,High,7.0,Cat_4,1,Cat_1
1087,462613,Female,Yes,39,No,Engineer,1.0,Average,5.0,Cat_4,5,Cat_5
1088,462615,Male,No,32,No,Doctor,3.0,Low,7.0,Cat_4,2,Cat_2
1089,462617,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_4,2,Cat_2
1091,462625,Male,No,30,Yes,Artist,1.0,Low,3.0,Cat_4,0,Cat_0
1092,462626,Female,No,31,Yes,Engineer,0.0,Low,6.0,Cat_4,3,Cat_3
1096,462654,Male,Yes,37,No,Artist,0.0,Average,6.0,Cat_4,6,Cat_6
1098,462668,Female,No,38,Yes,Artist,4.0,Low,1.0,Cat_6,3,Cat_3
1100,462678,Female,Yes,45,Yes,Artist,3.0,Average,3.0,Cat_6,5,Cat_5
1102,462683,Female,Yes,43,No,Engineer,1.0,Low,5.0,Cat_1,5,Cat_5
1104,462687,Male,No,26,No,Homemaker,14.0,Low,3.0,Cat_3,2,Cat_2
1106,462696,Male,Yes,49,No,Artist,1.0,High,2.0,Cat_6,1,Cat_1
1108,462702,Male,Yes,53,No,Entertainment,1.0,Average,4.0,Cat_4,6,Cat_6
1109,462704,Male,Yes,52,Yes,Executive,5.0,High,5.0,Cat_6,1,Cat_1
1110,462705,Female,Yes,66,No,Lawyer,0.0,Average,2.0,Cat_6,5,Cat_5
1111,462716,Male,No,26,No,Entertainment,6.0,Low,2.0,Cat_4,2,Cat_2
1114,462723,Female,Yes,53,No,Artist,8.0,Average,2.0,Cat_6,5,Cat_5
1115,462727,Female,Yes,87,No,Lawyer,0.0,High,2.0,Cat_6,1,Cat_1
1116,462729,Male,No,28,No,Healthcare,1.0,Low,2.0,Cat_6,2,Cat_2
1117,462731,Female,Yes,37,Yes,Artist,7.0,High,3.0,Cat_6,5,Cat_5
1119,462735,Female,Yes,25,No,Artist,1.0,Average,2.0,Cat_1,5,Cat_5
1120,462736,Female,Yes,33,No,Engineer,6.0,Low,3.0,Cat_6,2,Cat_2
1122,462739,Male,Yes,46,Yes,Artist,1.0,Low,2.0,Cat_6,4,Cat_4
1123,462743,Male,No,33,No,Healthcare,2.0,Low,4.0,Cat_3,2,Cat_2
1124,462746,Male,No,26,No,Entertainment,1.0,Low,3.0,Cat_6,2,Cat_2
1125,462747,Male,No,32,No,Doctor,6.0,Low,4.0,Cat_6,2,Cat_2
